City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.67,77,80,2.33,PF,1680271065
1,provideniya,64.3833,-173.3,-16.58,87,10,3.12,RU,1680271065
2,khatanga,71.9667,102.5,-20.74,93,98,6.41,RU,1680271065
3,voloshka,61.3314,40.0858,1.1,76,43,1.01,RU,1680271065
4,ushuaia,-54.8,-68.3,5.81,81,20,2.06,AR,1680271065
5,upernavik,72.7868,-56.1549,-25.51,83,3,3.06,GL,1680271065
6,clyde river,70.4692,-68.5914,-17.87,78,100,5.14,CA,1680271065
7,kudahuvadhoo,2.6708,72.8944,28.31,73,12,1.81,MV,1680271065
8,cape town,-33.9258,18.4232,25.06,64,0,11.83,ZA,1680271028
9,east london,-33.0153,27.9116,22.52,60,0,3.09,ZA,1680270867
10,iracoubo,5.4802,-53.2011,27.82,69,92,5.4,GF,1680271065
11,hermanus,-34.4187,19.2345,22.11,64,9,3.74,ZA,1680271065
12,cherskiy,68.75,161.3,-4.47,96,100,4.27,RU,1680271065
13,albany,42.6001,-73.9662,3.86,51,99,2.6,US,1680270919
14,naberera,-4.2,36.9333,26.51,38,43,4.59,TZ,1680271065
15,okhotsk,59.3833,143.3,-4.36,93,100,1.35,RU,1680271065
16,barrow,71.2906,-156.7887,-15.99,92,100,1.54,US,1680271066
17,tunceli,39.1083,39.5471,5.18,46,99,3.02,TR,1680271066
18,faanui,-16.4833,-151.75,27.71,72,29,2.93,PF,1680271066
19,hasaki,35.7333,140.8333,12.34,73,3,5.69,JP,1680271066
20,dikson,73.5069,80.5464,-13.63,90,100,11.19,RU,1680271066
21,nikolskoye,59.7035,30.7861,1.94,96,99,1.42,RU,1680271066
22,alugan,12.2188,125.4808,26.54,84,25,3.6,PH,1680271066
23,saskylakh,71.9167,114.0833,-22.73,95,93,5.37,RU,1680271066
24,sao felix do xingu,-6.6447,-51.995,27.54,73,97,1.93,BR,1680271066
25,lompoc,34.6391,-120.4579,7.18,83,0,3.6,US,1680271066
26,atbasar,51.8,68.3333,-4.22,82,14,4.95,KZ,1680271066
27,saint-philippe,-21.3585,55.7679,28.77,85,49,5.27,RE,1680271066
28,qaanaaq,77.484,-69.3632,-23.26,69,29,1.96,GL,1680271066
29,pirgos,35.1167,25.7178,18.12,65,1,3.31,GR,1680271066
30,goumenissa,40.9439,22.4442,19.76,45,92,3.43,GR,1680271066
31,norman wells,65.282,-126.8329,-16.98,71,20,1.54,CA,1680271066
32,los llanos de aridane,28.6585,-17.9182,24.86,44,0,6.17,ES,1680270817
33,the valley,18.217,-63.0578,27.92,61,20,6.17,AI,1680271067
34,rocha,-34.4833,-54.3333,19.46,88,98,6.95,UY,1680270866
35,piacabucu,-10.4056,-36.4344,29.32,56,100,3.18,BR,1680271067
36,kuala terengganu,5.3302,103.1408,27.97,78,20,1.03,MY,1680271067
37,hobart,-42.8794,147.3294,9.03,68,59,6.69,AU,1680271067
38,bredasdorp,-34.5322,20.0403,22.24,47,5,4.16,ZA,1680271067
